Name,Age,Email,Join Date,Salary
Anna,40.0,anna@gmail.com,01-01-2021,40000.0
David,30.0,david@gmail.com,01-01-2021,
Robert,25.0,robert@@yahoo.com,,50000.0
Emma,,emma@xyz.com,03/01/2021,55000.0
Anna,35.0,anna@xyz.com,NaN,40000.0
,40.0,unknown@@email.com,03/01/2021,55000.0
Sarah,35.0,sarah@@xyz.com,,
Anna,35.0,anna@xyz.com,,
Robert,25.0,robert@yahoo.com,03/01/2021,40000.0
Emma,35.0,emma@yahoo.com,,50000.0
David,,david@gmail.com,03/01/2021,45000.0
Robert,35.0,robert@xyz.com,2021-01-02,40000.0
Robert,25.0,robert@yahoo.com,03/01/2021,45000.0
Sarah,,sarah@xyz.com,03/01/2021,45000.0
Chris,30.0,chris@gmail.com,,50000.0
Emma,35.0,emma@xyz.com,,45000.0
Mike,25.0,mike@@hotmail.com,01-01-2021,45000.0
Robert,30.0,robert@xyz.com,01-01-2021,50000.0
Chris,30.0,chris@hotmail.com,2021-01-02,45000.0
Mike,40.0,mike@xyz.com,01-01-2021,45000.0
Emma,,emma@xyz.com,03/01/2021,45000.0
John,35.0,john@gmail.com,,40000.0
,25.0,unknown@@email.com,01-01-2021,40000.0
Chris,40.0,chris@gmail.com,01-01-2021,40000.0
NaN,,nan@gmail.com,2021-01-02,50000.0
John,40.0,john@yahoo.com,2021-01-02,
,,unknown@@email.com,03/01/2021,45000.0
Sarah,,sarah@gmail.com,,45000.0
Anna,35.0,anna@@hotmail.com,2021-01-02,50000.0
David,,david@gmail.com,01-01-2021,45000.0
NaN,40.0,nan@@hotmail.com,,40000.0
Sarah,,sarah@yahoo.com,,
Emma,35.0,emma@yahoo.com,01-01-2021,55000.0
Sarah,35.0,sarah@yahoo.com,2021-01-02,45000.0
Anna,40.0,anna@gmail.com,01-01-2021,40000.0
Emma,30.0,emma@yahoo.com,,55000.0
NaN,30.0,nan@gmail.com,NaN,
Anna,,anna@xyz.com,NaN,55000.0
Mike,25.0,mike@gmail.com,03/01/2021,40000.0
David,,david@xyz.com,01-01-2021,55000.0
NaN,40.0,nan@gmail.com,01-01-2021,50000.0
Mike,40.0,mike@hotmail.com,03/01/2021,55000.0
,40.0,unknown@@email.com,03/01/2021,45000.0
NaN,40.0,nan@xyz.com,03/01/2021,45000.0
,40.0,unknown@@email.com,,50000.0
Emma,35.0,emma@gmail.com,01-01-2021,40000.0
Mike,30.0,mike@xyz.com,,45000.0
David,40.0,david@xyz.com,03/01/2021,
Anna,25.0,anna@gmail.com,01-01-2021,45000.0
Robert,25.0,robert@hotmail.com,,45000.0
Sarah,25.0,sarah@gmail.com,,40000.0
John,25.0,john@gmail.com,03/01/2021,55000.0
David,35.0,david@xyz.com,01-01-2021,45000.0
Mike,25.0,mike@gmail.com,03/01/2021,50000.0
Robert,40.0,robert@gmail.com,01-01-2021,55000.0
David,,david@@gmail.com,NaN,
Mike,25.0,mike@xyz.com,2021-01-02,40000.0
Chris,35.0,chris@xyz.com,2021-01-02,
Chris,35.0,chris@xyz.com,2021-01-02,55000.0
,25.0,unknown@@email.com,03/01/2021,55000.0
David,,david@yahoo.com,NaN,55000.0
Chris,25.0,chris@gmail.com,01-01-2021,
Mike,35.0,mike@@xyz.com,,55000.0
,30.0,unknown@@email.com,01-01-2021,
Mike,40.0,mike@hotmail.com,,55000.0
,35.0,unknown@@email.com,01-01-2021,50000.0
David,25.0,david@gmail.com,NaN,55000.0
Robert,40.0,robert@gmail.com,,
Anna,25.0,anna@gmail.com,03/01/2021,45000.0
NaN,25.0,nan@hotmail.com,01-01-2021,55000.0
Robert,30.0,robert@yahoo.com,01-01-2021,45000.0
Emma,40.0,emma@hotmail.com,,50000.0
Mike,40.0,mike@hotmail.com,03/01/2021,40000.0
Emma,30.0,emma@xyz.com,03/01/2021,50000.0
Robert,35.0,robert@yahoo.com,NaN,55000.0
,25.0,unknown@@email.com,03/01/2021,45000.0
NaN,,nan@gmail.com,03/01/2021,45000.0
NaN,25.0,nan@yahoo.com,03/01/2021,
John,25.0,john@yahoo.com,2021-01-02,45000.0
NaN,35.0,nan@hotmail.com,NaN,
Anna,25.0,anna@gmail.com,01-01-2021,40000.0
NaN,30.0,nan@yahoo.com,,55000.0
Robert,30.0,robert@xyz.com,01-01-2021,
John,40.0,john@yahoo.com,NaN,40000.0
Robert,,robert@hotmail.com,,45000.0
Robert,25.0,robert@gmail.com,NaN,45000.0
Sarah,25.0,sarah@yahoo.com,03/01/2021,40000.0
John,35.0,john@hotmail.com,,45000.0
Robert,30.0,robert@yahoo.com,03/01/2021,40000.0
Sarah,,sarah@yahoo.com,01-01-2021,
Sarah,40.0,sarah@hotmail.com,01-01-2021,
John,30.0,john@gmail.com,,40000.0
Emma,40.0,emma@@xyz.com,,
,35.0,unknown@@email.com,NaN,
Anna,35.0,anna@xyz.com,NaN,
,25.0,unknown@@email.com,03/01/2021,50000.0
NaN,,nan@gmail.com,,55000.0
Anna,40.0,anna@hotmail.com,01-01-2021,45000.0
NaN,30.0,nan@gmail.com,NaN,50000.0
Robert,35.0,robert@gmail.com,NaN,
